reference	name	count
mockLogger	Errorf	5
msg	byteSize	3
mutex	Lock	4
n	Sign	4
net	JoinHostPort	3
netConn	Close	7
newScope	PrimaryKeyZero	3
om	releaseCoordinator	5
om	fetchInitialOffset	4
om	releasePOMs	3
opt	init	5
os	IsNotExist	3
out	Set	10
out	Kind	5
out	SetInt	5
out	OverflowInt	4
out	SetUint	4
out	SetFloat	4
out	OverflowUint	4
out	CanAddr	3
p	skip	10
p	returnError	6
p	expect	4
p	anchor	3
pe	putInt32	32
pe	putInt16	25
pe	putInt64	13
pe	putInt8	8
pe	push	6
pe	pop	5
pe	putBool	3
pom	handleError	5
proto	Float64	9
proto	String	5
psum	Write	3
pubsub	init	3
r	next	3
reflect	TypeOf	22
reflect	DeepEqual	6
reflectType	Kind	4
reflectValue	Kind	4
regexp	MustCompile	11
result	init	4
results	Set	3
resultsValue	Len	4
rows	Close	3
rows	Next	3
s	log	22
s	fieldCanAutoIncrement	12
s	Flag	6
s	AddError	5
s	XORKeyStream	4
s	print	3
s	updateConditionMap	3
s	Run	3
s	unsetSocket	3
scanner	RedisScan	3
scanner	Scan	3
scope	Err	62
scope	HasError	19
scope	CallMethod	11
scope	Fields	10
scope	Quote	9
scope	GetModelStruct	9
scope	InstanceSet	8
scope	IndirectValue	6
scope	changeableField	6
scope	Raw	5
scope	callCallbacks	5
scope	trace	5
scope	New	5
scope	NewDB	4
scope	prepareQuerySQL	4
scope	updatedAttrsWithValues	4
scope	PrimaryKeyZero	3
scope	scan	3
scope	TableName	3
scope	QuotedTableName	3
sent	eachPartition	4
server	Unlock	13
server	Lock	8
server	Close	3
session	Close	6
session	SetMode	5
session	prepareQuery	4
shard	IsDown	4
socket	Unlock	28
socket	Lock	20
socket	Release	13
socket	kill	9
socket	dropAuth	5
socket	ServerInfo	3
socket	loginRun	3
socket	updateDeadline	3
sort	Sort	16
sort	Strings	12
st	String	4
st	exec	3
stats	socketRefs	3
stats	conn	3
statsMutex	Unlock	11
statsMutex	Lock	11
strconv	Itoa	9
strconv	ParseUint	5
strconv	FormatInt	3
strings	HasPrefix	27
strings	Join	21
strings	Contains	14
strings	Split	10
strings	ToLower	10
strings	Index	7
strings	EqualFold	6
strings	HasSuffix	5
strings	TrimSpace	5
stub	MockTransactionStart	3
stub	MockTransactionEnd	3
subtle	ConstantTimeCompare	8
t	Kind	5
t	Len	4
t	printPacket	4
t	requestKeyExchange	4
t	Year	4
t	setModReq	3
ticker	Stop	3
time	Duration	27
time	Sleep	24
time	Now	5
time	Unix	3
timer	Stop	5
u	returnError	9
unicode	IsSpace	3
utf8	ValidString	6
v	Set	7
v	Kind	5
v	Add	3
v	Len	3
v	NumField	3
vErr	valid	3
value	Kind	7
values	Encode	6
values	Len	3
w	int32	8
w	string	7
w	endMessage	4
w	Write	4
w	byte	3
w	Broadcast	3
w	WriteHeaderNow	3
wg	Add	10
wg	Done	9
wg	Wait	9
